"rowid","fish_ID2","p_moses","p_no_RST","p_butters"
1,"61835",0,1,0
2,"61843",0,1,0
3,"61852",0,1,0
4,"61853",0,1,0
5,"61903",0,1,0
6,"61906",0,1,0
7,"61909",0,1,0
8,"61693",0.504411764705882,0.495588235294118,0
9,"61901",0.506078431372549,0.493921568627451,0
10,"61902",0.50656862745098,0.49343137254902,0
11,"61692",0.508725490196078,0.491274509803922,0
12,"61907",0.509019607843137,0.490980392156863,0
13,"61856",0.510098039215686,0.489901960784314,0
14,"61900",0.510490196078431,0.489509803921569,0
15,"61842",0.511862745098039,0.488137254901961,0
16,"61844",0.512254901960784,0.487745098039216,0
17,"61855",0.512450980392157,0.487549019607843,0
18,"61899",0.513921568627451,0.486078431372549,0
19,"61848",0.514803921568627,0.485196078431373,0
20,"61836",0.516176470588235,0.483823529411765,0
21,"61905",0.516372549019608,0.483627450980392,0
22,"61850",0.523137254901961,0.476862745098039,0
23,"61839",0.524607843137255,0.475392156862745,0
24,"61851",1,0,0
25,"61904",1,0,0
26,"61859",0.483627450980392,0.504803921568628,0.0115686274509804
27,"61840",0.483823529411765,0.502745098039216,0.0134313725490196
28,"61858",0.481960784313725,0.504411764705882,0.0136274509803922
29,"61860",0.476372549019608,0.509117647058824,0.0145098039215686
30,"61690",0,0.730490196078431,0.269509803921569
31,"61861",0,0.170392156862745,0.829607843137255
32,"61870",0,0.169313725490196,0.830686274509804
33,"61834",0,0.166078431372549,0.833921568627451
34,"61854",0,0.0875490196078431,0.912450980392157
35,"61838",0,0.0864705882352941,0.913529411764706
36,"61845",0,0.0849019607843137,0.915098039215686
37,"61691",0,0.0847058823529412,0.915294117647059
38,"61837",0,0,1
39,"61841",0,0,1
40,"61846",0,0,1
41,"61847",0,0,1
42,"61849",0,0,1
43,"61857",0,0,1
44,"61898",0,0,1
45,"61908",0,0,1
